"Finding_ID","File_Name","Vulnerability_ID","Vulnerability","Severity","CWE","Risk_Score","Line_Number","Status"
"SAST-001","auth.py","V13","Weak Session Management","High","CWE-613",7.5,376,"Open - Immediate Fix"
"SAST-002","email.py","V15","Sensitive Data Exposure","High","CWE-200",8.3,342,"Open - Immediate Fix"
"SAST-003","api.py","V01","SQL Injection","Critical","CWE-89",9.8,15,"Open - Immediate Fix"
"SAST-004","database.py","V09","Information Disclosure","Medium","CWE-200",5.9,18,"Open - Review"
"SAST-005","database.py","V01","SQL Injection","Critical","CWE-89",9.8,136,"Open - Immediate Fix"
"SAST-006","upload.py","V06","Insecure File Upload","High","CWE-434",8.1,240,"Open - Immediate Fix"
"SAST-007","payment.py","V15","Sensitive Data Exposure","High","CWE-200",8.3,148,"Open - Immediate Fix"
"SAST-008","report.py","V13","Weak Session Management","High","CWE-613",7.5,159,"Open - Immediate Fix"
"SAST-009","upload.py","V09","Information Disclosure","Medium","CWE-200",5.9,187,"Open - Review"
"SAST-010","utils.py","V09","Information Disclosure","Medium","CWE-200",5.9,184,"Open - Review"
"SAST-011","utils.py","V14","Insecure API Endpoint","Medium","CWE-918",6.7,55,"Open - Review"
"SAST-012","login.py","V08","Insecure Cryptography","Medium","CWE-327",6.8,37,"Open - Review"
"SAST-013","payment.py","V01","SQL Injection","Critical","CWE-89",9.8,400,"Open - Immediate Fix"
"SAST-014","login.py","V03","Cross-Site Scripting (XSS)","High","CWE-79",8.2,322,"Open - Immediate Fix"
"SAST-015","search.py","V04","Weak Authentication","High","CWE-287",8,341,"Open - Immediate Fix"
"SAST-016","report.py","V12","Missing Access Control","Critical","CWE-862",9,15,"Open - Immediate Fix"
"SAST-017","payment.py","V12","Missing Access Control","Critical","CWE-862",9,224,"Open - Immediate Fix"
"SAST-018","auth.py","V07","Unvalidated Input","Medium","CWE-20",6.5,269,"Open - Review"
"SAST-019","report.py","V12","Missing Access Control","Critical","CWE-862",9,450,"Open - Immediate Fix"
"SAST-020","server.py","V12","Missing Access Control","Critical","CWE-862",9,344,"Open - Immediate Fix"
"SAST-021","admin.py","V02","Hardcoded Password","High","CWE-798",8.5,213,"Open - Immediate Fix"
"SAST-022","config.py","V14","Insecure API Endpoint","Medium","CWE-918",6.7,301,"Open - Review"
"SAST-023","auth.py","V08","Insecure Cryptography","Medium","CWE-327",6.8,32,"Open - Review"
"SAST-024","auth.py","V09","Information Disclosure","Medium","CWE-200",5.9,286,"Open - Review"
"SAST-025","session.py","V13","Weak Session Management","High","CWE-613",7.5,96,"Open - Immediate Fix"
"SAST-026","upload.py","V04","Weak Authentication","High","CWE-287",8,213,"Open - Immediate Fix"
"SAST-027","api.py","V12","Missing Access Control","Critical","CWE-862",9,303,"Open - Immediate Fix"
"SAST-028","login.py","V02","Hardcoded Password","High","CWE-798",8.5,35,"Open - Immediate Fix"
"SAST-029","session.py","V12","Missing Access Control","Critical","CWE-862",9,191,"Open - Immediate Fix"
"SAST-030","login.py","V09","Information Disclosure","Medium","CWE-200",5.9,434,"Open - Review"
